Driver_ID,Initial_Location,Arrival,Offline
d1,"[12.200770662097762, 17.916411318961877]",0.0696676673159241,
d2,"[18.6277674253349, 12.101790845280894]",1.579052738876745,
d3,"[15.056624092672472, 10.0473332878163]",1.678490793138727,
d4,"[16.99364851149771, 8.702031382179793]",2.523153783163462,
d5,"[2.1048218767262394, 18.71869764049852]",2.7230828593257717,
d6,"[15.699545908518653, 16.401470377350126]",3.2636610698454307,
d7,"[3.7653069631541847, 15.785279827974094]",3.4431512474642156,
d8,"[13.208550157942083, 15.019636321561292]",3.9613370941070984,
d9,"[19.672019300584896, 0.19637616444702966]",4.064255121075444,
d10,"[16.243878658612044, 14.368286154253482]",4.201146882287609,
d11,"[16.419298299944533, 7.210731815575402]",4.2258426950714,
d12,"[5.496928557103673, 0.5940154608082504]",4.996019121861939,
d13,"[10.772052535586047, 3.644835341590058]",6.002889000368591,
d14,"[6.4826009718655, 13.710128113520776]",6.728575857276515,
d15,"[0.3849716431372463, 1.049346609656725]",7.121002517399587,
d16,"[15.734080369539072, 17.7282529941696]",7.3667939036742,
d17,"[7.936846644833972, 8.099458794002324]",7.7308600100850455,14.274619929706555
d18,"[15.879240751994297, 15.294663059738989]",8.355740319339306,
d19,"[6.958447155262091, 12.462955000106572]",8.478800011970746,
d20,"[0.943333837903364, 11.353248734908972]",8.570354905081473,
d21,"[10.163319639322433, 0.94041802079039]",8.94403627771212,
d22,"[18.92889153232051, 3.055727981410683]",9.219350697257024,
d23,"[5.652502998765665, 15.780820378395406]",9.309779875952822,
d24,"[7.530131411521934, 10.663683801420323]",9.449876888991273,
d25,"[0.10173338715516289, 1.5836532070765363]",9.589404335098546,
d26,"[14.08780900194168, 2.423103361394614]",10.478861004161885,
d27,"[17.640704359866575, 6.538843683818046]",10.571334819613469,17.76344453075562
d28,"[9.488965908881454, 13.002353803679497]",11.085867052476843,
d29,"[0.8759335686388092, 4.37035193353158]",11.123451968021612,
d30,"[9.029449554308508, 8.504552212258236]",11.995486609548037,
d31,"[8.637125076099132, 6.7101448375551325]",12.090775596714566,17.674624249968875
d32,"[17.70267042206188, 5.131883179104766]",12.137736848880046,
d33,"[11.479977993456565, 5.603619642143678]",12.72166532542628,
d34,"[3.544174438057077, 18.04285265708253]",13.000606029600476,
d35,"[2.7437633124525407, 10.577852375924357]",13.100434671777386,
d36,"[15.95236910448341, 1.6522337805776188]",13.150574008929638,
d37,"[4.701367443223363, 11.20844761152057]",13.711561715550898,
d38,"[17.052840471782197, 13.362158061966616]",13.758413843180985,
d39,"[14.367502862434927, 7.073497273876264]",13.767894977310496,
d40,"[2.681781464495556, 1.278194351226849]",14.027571347976583,
d41,"[18.556194672504212, 0.32030318915928335]",14.26766964507294,
d42,"[12.520019483491904, 6.179140805798006]",14.314138940731771,
d43,"[10.793237205116013, 18.160622951463363]",14.731441610391903,
d44,"[5.677588068760349, 13.231119175943737]",14.823763898337683,
d45,"[13.279628808034229, 17.671820161462666]",15.627941928425868,
d46,"[12.08439705244103, 11.927349409933953]",15.82017596587441,
d47,"[19.408294623881783, 7.620290858595755]",16.177465887229683,
d48,"[4.032943457563882, 15.40293119026547]",16.93447597254073,
d49,"[13.282886554082932, 19.22410622194693]",16.997992601949576,
d50,"[10.968762021888526, 18.171985176046515]",17.123836831579172,
d51,"[8.651027013237439, 4.63624456321754]",17.31886741299045,
d52,"[2.4555133270263685, 3.1656104671943153]",18.15832680007572,
d53,"[14.773536342679428, 5.884694056469229]",18.467090983983375,
d54,"[2.3776744553233886, 11.780551192331139]",18.723606783348327,
d55,"[9.954777507694901, 4.99394842490876]",18.85099099336282,
d56,"[10.081201506884764, 10.039919539353361]",19.028221874434152,
d57,"[6.498955316656256, 3.0144936100907715]",20.11514778050802,
d58,"[19.863469611962852, 3.743543839667687]",20.27032330798833,
d59,"[0.04194677886786069, 15.812641882063883]",20.899035538642416,
d60,"[2.0350823133355767, 19.06132836558421]",21.53766684478644,
d61,"[15.106843346918563, 18.89203830083789]",22.095819586872423,
d62,"[1.1785055538799338, 14.64426720815504]",22.140927713954632,
d63,"[17.716858120178532, 11.363164855274672]",23.085511946299317,
d64,"[6.254701104664324, 13.450607130767482]",23.293437260031073,
d65,"[19.849193772177042, 1.9422525841023863]",23.582912733313155,
d66,"[3.295431118845513, 7.341654353462051]",23.61763362428978,
d67,"[9.269107715853025, 0.13814510137967195]",23.817876958562177,
